,sample_1,sample_3,sample_2,sample_10,sample_9,sample_12,sample_11,sample_6,sample_4,sample_5,sample_7,sample_8
FCRLB,51,55,86,93,42,89,42,50,42,40,45,39
SLC9C2,0,1.62,2,0,8,5.41,2,13,0,4,2,1.3
KLHDC9,354,410,598,390,428,443,297,403,276,338,254,199
C1orf74,305,340,386,411,351,338,308,397,257,300,296,236
LMX1A,1,8,4,17,2296,33,11,1967,20,199,108,900
FLVCR1,2644,3438,3976,3693,3357,4763,2869,3414,3578,3975,2633,2027
FAM71A,2,3,0,1,2,6,0,0,0,0,0,1
ATF3,2518,2589,3039,4508,1844,2461,3521,2025,1132,869,3924,2899
DENND2D,1,1,1,3,7,1,2,8,4,0,0,3
AXDND1,6,7,7,9,12,15,7,19,6,11,14,11
TDRD5,0,0,1,1,0,1,1,1,2,0,2,2
IER5,396,554,754,1301,1875,715,570,2643,979,1117,1666,2309
SNED1,62,88,108,181,694,174,106,319,89,120,192,218
BPNT1,1309,1554,1477,1709,1349,1214,1155,1651,1098,1317,1389,1211
SPATA17,143,157,164,121,292,140,121,244,90,142,114,121
C1orf115,41,51,90,71,174,58,56,156,55,48,270,246
BROX,1939,2199,1979,2164,2646,2240,1963,3026,1848,2199,2877,2574
ACP6,115,177,175,214,507,301,130,507,192,219,366,388
KIF26B,4173,5827,9706,7179,8668,13115,4905,10173,7918,8581,6871,6895
TFB2M,306,432,548,574,504,475,357,617,429,430,506,470
CNST,7052,8084,7778,9478,4774,7407,7264,6501,6070,5899,5999,4979
PPP1R21,4075,4747,5039,4890,3141,4327,3836,4440,3233,3453,3049,2272
PM20D1,0,0,0,0,0,1,0,0,0,0,1,0
PKDCC,226,358,419,717,944,501,577,759,527,454,722,960
HAAO,0,0,0,10,3,3,5,2,6,0,11,25
IL24,0,1,0,0,0,0,0,0,0,1,0,0
FCMR,1,1,2,6,6,0,2,3,2,3,13,5
PIGR,0,3,0,0,0,0,1,0,0,0,5,0
FCAMR,0,0,1,1,0,0,0,0,0,1,0,0
CAPN2,5448,7122,8099,9753,8322,8075,5838,9796,6856,7119,10349,7075
MRPL55,493,647,809,803,737,771,519,713,523,583,602,594
PUS10,163,156,167,175,202,123,149,256,136,132,161,159
PEX13,1811.87,2088,1894,1828,2077,1833,1601,2436,1624,1742,2127,1919
SANBR,2487.98,2880.9,3163.14,3049.05,2697.88,3720.02,2561,2743.97,2564,2735,2475.11,2046
TRIM17,65,56,53,59,101,56,77,91,38,39,39,49
RFTN2,4,25,17,117,635,106,127,179,192,194,249,273
CAPN13,3,9,6,18,65,6,8,70,7,12,9,9
LRRTM1,141,541,391,428,594,464,403,522,241,310,417,355
DPY30,1516,1907,2083,1920,1771,2211,1358,1906,1514,1754,1598.87,1276
TYW5,695,890,839,810,854,815,697,964,564,690,980,743
KCNF1,164,240,431,222,182,327,154,148,164,168,124,152
SLC66A3,152,182,185,331,299,178,175,323,195,199,370,248
ARL5A,2373.65,2990.69,2470.55,3762.58,3566.97,3271.08,2892.86,5101.74,3330.7,3629.12,3896.11,3921.95
LRATD1,2108,2942,3853,2538,8392,5021,2156,4403,2782,3654,2724,4260
KCNJ3,427,608,518,291,287,504,425,311.29,254,338,516,382
CLHC1,636,664,639,573,783,636,602,744,526,558,669,606
FRZB,49,121,126,680,1979,474,504,656,580,779,694,1552
DUSP19,147,160,175,165,226,163,169,295,155,194,183,212
NUP35,463,535,651,501,621,619,462,578,491,555,544,727
CCDC138,495,551,521,511,635,500,528,632,426,479,605,808
ZSWIM2,5,16,11,9,13,8,3,12,9,7,4,11
ACTG2,41,158,142,5468,2155,793,733,396,3301,2351.01,1916,1283
WDCP,1526,1809,1734,1682,1496,1601,1400,1755,1268,1382,1426,1467
SMC6,1908,2100,2064,2239,2535,1981,2156,2351,1760,1890,3032,3523
VSNL1,1133,1468,2499,1075,859,2489,911,788,1473,1415,901,967
SLC16A14,2149,2549,2472,1518,1766,2258,1742,2302,1521,2041,4146,3231
TEKT4,0,0,0,0,0,0,0,0,0,0,0,0
SPATA18,52,67,88,136,78,77,53,129,102,82,302,149
CFAP221,144,157,251,169,278,287,135,246,150,210,182,191
SGPP2,238,176,204,179,99,112,175,171,146,62,56,177
INHBB,143,119,155,72,118,85,68,32,62,106,168,383
BBS5,379,495.8,651.78,609.15,750.89,800.3,465.06,609.19,520.15,539.74,673.5,556.43
HPGDS,0,0,0,0,0,0,1,0,0,1,3,0
PDLIM5,460,611,1144,2191.11,2579,2251,768,2263,2139,2074,3952,4050
PDHA2,0,0,0,0,0,0,0,0,0,0,1,0
STPG2,6,10,8,6,8,10,6,8,5,6,4,5
NEURL3,3,7,8,3,6,7,2,7,5,7,4,2
ANKRD23,121.35,179.07,195.08,261.85,194.18,285.44,144.76,167.83,125.43,172.2,175.74,167.64
MSX1,39,128,97,215,20121,250,130,18834,387,1367,1182,8946
PACRGL,492,622,781,719,796,929,513,832,619,652,807,750
BNIPL,10,7,6,9,8,13,5,18,13,8,23,27
TNFAIP8L2,0,0,0,0,0,0,0,0,0,1,0,0
LYSMD1,1612,1849,2082,1969,1345,1990,1460,1485,1251,1360,1544,1082
TMOD4,0,0,1.16,1,1.42,1.26,0,0,0,1.25,0,0
RNF149,498,615,873,974,962,1042,716,1011,672,660,1472,1320
IWS1,3458,4199,4565,4255,4644,4460,3585,4799,3372,3864,4400,4653
BOLA3,243.94,357.99,478.99,395,433,441.99,267,411.99,275,383.95,388,370
S100A11,831,1676,2027,5761,5882,1835,2149,7171,4385,4175,5597,5032
LCE3D,0,0,0,0,0,0,0,0,0,0,0,0
SMCP,0,0,0,0,0,0,0,0,0,0,0,0
IVL,0,0,0,0,0,0,0,1,0,0,0,0
SPRR3,0,0,2,0,0,3,0,0,0,2,0,0
DHX57,3425,4172,4520,4309,3711,4353,3382,4096,3271,3572,3289,2956
SPRR2D,0,0,0,0,0,0,0,0,0,0,1,0
BMP10,0,0,1,0,0,0,0,1,0,0,1,2
PGLYRP4,0,0,0,0,0,0,0,0,0,0,0,2
ARHGAP25,14,50,36,27,21,15,28,40,14,12,53,27
S100A9,1,0,11,0,0,0,0,0,1,0,3,1
S100A12,0,0,0,0,0,0,0,0,0,0,0,0
TGFA,171,237,635,296,519,744,336,194,356,264,508,515
TDRD10,0,0,4,4,6,3,1,6,2,4,2,9
FZD5,219,292,300,528,285,323,287,354,303,297,877,733.11
CRYGC,0,1,0,0,0,0,0,2,0,0,0,2
DCAF16,3188,3832,3691,3840,4128,3722,3183,4455,3059,3329,5536,6246
CFAP141,0,1,1,0,18,0,0,6,0,5,5,1
NPPC,40,79,120,65,140,190,50,60,91,97,80,160
GNPDA2,722,935,766,776,979,977,642,1230,790,812,986,1037
ALPP,0,0,0,0,0,1,0,2,1,0,1,0
GABRG1,9,20,51,35,124,73,12,76,34,30,272,696
ALPG,0,0,0,3,0,0,0,1,1,0,1,3
GABRB1,46,79,111,100,62,287,38,25,75,96,105,107
PAQR3,2668,2868,2685,2776,2618,4524,2721,2958,2359,2569,5098,3255
NIPAL1,47,66,86,106,151,105,77,155,88,77,120,103
ALPI,0,0,0,0,0,0,0,0,0,0,1,1
HELQ,503,590,725,726,693,610,520,733,526,509,628,601
MRPS18C,1035.98,1136,1346.97,1232.99,1001.95,1138,1001.66,1082.81,857.99,1018,1120.99,924
ABRAXAS1,463,526.96,462.99,646,793,414.98,495,932,471,467,462.97,408
PMVK,1001,1212,1492,1421,1101,1203,901,1262,908,950,1090,835
PBXIP1,135,331,503,993,4994,416,351,6928,844,889,3134,4895
CLDN1,129,401,638,399,373,307,343,214,468,315,1913,889
PYGO2,2871.15,3302.94,3753.49,3558.18,3524,3453,2892,3424.65,2350,2677,3347.37,3092.32
HIPK1,2954,3849,4562,5057,7153,5701,3734,7353,4242,4443,6270,7817
DCST2,11,16,8,13,26,10,3,19,9,8,12,8
INAVA,32,93.76,142,164.24,650,135,153,383.85,238,184,434.87,994.91
KBTBD8,347,435,469,516,467,455,503,546,458,496,510,456
TAFA4,42,100,117,140,90,116,72,79,157,80,170,378
EOGT,159,237,267,337,434,295,208,480,302,303,671,461
POGLUT1,1018,1068,1201,1221,1345,1096,987,1338,795,1021,1416,1033
SLC22A15,1016,973,1476,887,720,1709,828,711,768,849,1286,817
CCKAR,0,2,1,5,3,3,1,4,4,4,13,15
ATP1A1,11951,15376,19162,20547,22579,19267,13628,30041.82,14609,14647,21109,24265
SLC15A2,26,46,37,61,998,58,52,1027,58,61,97,268
EIF4E3,5052.81,5698.97,4993.79,5383.11,2645.6,4689.75,4799.93,3582.84,3573.04,3850.84,4607.22,3312.16
PROK2,10,7,5,24,13,8,5,11,13,9,19,13
TEX55,0,0,0,0,0,0,0,0,0,0,0,0
LRRC58,1637.98,2200.98,1994.98,2816.94,3640,2740.99,2321.95,4961.97,2836,2727.86,4391.98,4618
FSTL1,1386,5701,9584,50818,98320,19948,14483,138954,35276,35720,89017,83314
LMOD1,13,38,28,392,214,76,46,233,270,236,717,628
ELF3,6.5,28,52.83,24,6,20,32.75,23,42,10,21,19
PDCL2,1,0,0,0,0,0,0,0,0,0,0,0
TMEM183A,5120.47,6408.32,7319.76,7278.8,5257.75,7605.59,5589.37,5635.93,4951.87,5619.81,6400.92,4925.75
TMEM169,4602,5794,6026,5718,3597,5738,4885,4449,4255,4992,2687,2199
IGFBP7,255,1079,1731,8564,1723,1554,1675,2030,5900,4228,18996,8436
CXCR1,0,0,0,0,0,0,0,0,0,0,4,0
ARPC2,11483,14880,15784,17640,15138,15667,12186,16649,13435,14370,14863,14384
CCT3,11228,14393,16212,17020,13530,13687,11166,15472,11603,12536,14133,13347
TMEM79,179,175,231,202,213,166,210,160,114,133,277,237
SSR2,5122,6268,6855,7729,7977,6182,5788,6446,5555,5747,7135,8061
RNF25,1143,1419,1785,1588,1464,1633,1163,1490,1066,1301,1631,1474
STK36,619,941,990,1140,2795,1947,674,2134,944,999,1366,1337
ADORA1,1287,1700,2176,1935,1170,2348,1271,1050,1266,1469,1159,748
CRYBA2,0,0,0,1,0,0,1,1,1,2,2,6
IHH,3,4,6,8,7,8,0,8,4,4,2,5
EOMES,1,1,1,5,0,0,2,0,1,8,2,20
CWC22,921,1229,1367,1202,1760,1466,994,1803,1106,1226,1504,1597
AZI2,3659,4093,4711,4759,3721,5157,3661,4007,3606,3976,4673,3844
ANKZF1,1616,1874,2260,2209,1929,2580,1655,1964,1557,1438,2205,1714
HDAC11,1161,1281,1797,1617,1132,1461,1126,1300,1009,1069,1047,792
FCRL4,2,0,0,2,0,0,0,1,3,0,1,0
TRAT1,0,0,0,1,0,0,0,0,0,0,4,1
FBLN2,89,265,291,1614,2865,567,709,1995,1180,1118,965,1251
GLB1L,131,157,210,192,703,209,148,827,159,196,218,346
STT3B,7254,8710,10991,10982,18924,11481,8491,20190,10484,10264,9798,14215
CHCHD4,689.99,839,1098,849,840,1018,748,993,620,722,760,773
DPPA2,0,0,0,1,0,0,6,1,1,1,1,4
FCRL1,0,0,0,0,0,0,0,0,0,0,0,0
SGO2,348,391,398,471,970,411,416,745,529,511,1101,2447
SUCLG1,3074,3742,4264,3969,3173,3693,3084,3475,2802,2938,3269,2957
SPTA1,0,0,0,0,2,1,0,1,0,0,5,4
PRKCI,4067.73,4811.88,4600.81,4779.61,5363.82,5377.68,4356.95,6619.76,4042.93,4620.93,4993.93,5025.85
MNDA,0,0,0,0,4,0,0,0,0,1,0,1
PYHIN1,1,1,1,3,1,0,0,0,4,4,7,1
EFHB,55,42,68,51,102,66,32,88,38,40,31,61
EIF5A2,231,302,274,444,472,444,314,657,345,347,738,429
SLC2A2,0,0,0,0,3,2,0,0,0,0,1,0
RPL22L1,174,313,426,702,855,443,351,923,608,546,546,668
FABP1,0,0,0,0,0,0,0,0,0,0,0,1
PPM1L,4591,5531,6188,4606,6456,8297,4774,7128,5184,5945,4878,6059
PPP4R2,3307.16,4109.11,3535.36,4043.73,5843.43,4446.04,3561.72,6497.79,4105.58,4446.31,4840.63,5627.42
CD200R1,2,1,2,7,6,9,3,4,1,6,5,13
NEPRO,2199,2573,2874,3031,2659,2837,2506,3278,2328,2359,2305,2120
SPICE1,188.62,287.24,276.05,374.91,680.3,390.35,245.07,638.9,325.96,359.43,470.48,646.21
CCDC191,226,289,321,236,520,426,265,436,202,235,252,230
CADPS,10223,13113,18861,11627,10553,20699,9572,10331,10176,12024,9830,6707
CDS1,439,550,584,617,739,727,431,887,416,498,834,634
PTPN13,5213,5023,4977,4071,7489,3070,5108,5521,3275,2969,7501,10886
SYNPR,549,907,934,810,260,913,727,219,628,625,1268,214
ALB,8,8,5,11,11,10,8,10,4,5,10,5
C4orf36,63.77,77.39,79.17,54.07,76.27,71.46,65.32,83.34,52.85,45.37,81.35,95.11
THOC7,2368,2848,2803,2501,2125,2742,2304,2467,2006,2211,2282,1832
PRICKLE2,3846,4923,5465,4882,4211,5300,3978,7778,3574,4064,5502,4726
ADAMTS9,537,821,2359,1233,2200,3902,1122,1648,2792,1827,1111,3949
PPM1K,3916,4643,5078,4174,3128,6282,3717,3319,3561,3948,4443,3372
ERICH6,1,2,2,2,1,4,2,3,1,4,3,0
GMPS,2404.4,2975.92,3789.8,3635.44,5681.48,4222.19,2886.93,5011.74,3404.72,3882.19,4456.13,6168.04
TIPARP,1057,1160,1647,1260,1462,1914,923,2154,1395,1278,2415,1938
PTX3,61,86,88,1533,1164,484,1260,157,1097,937,671,1143
HESX1,5,7,9,6,19,8,14,29,10,13,8,10
SMIM14,5581,6424,5427,5290,5211,5470,5800,6311,4130,4499,7407,5797
ABHD6,1092,1220,1471,1164,721,1284,1036,846,815,840,929,657
DNASE1L3,0,0,2,0,0,0,1,1,0,0,4,2
RBM47,7,65,61,39,870,7,58,1251,111,55,85,443
APBB2,10662.22,12222,15095,12138,12437,18872,9620,17496,11208,12096,16272,13651
IL17RE,22,22,26,29,39,41,13,36,18,28,27,33
PRRT3,532,744,840,867,846,852,541,990,599,765,678,536
FANCD2OS,0,0,0,0,0,0,0,0,0,0,0,0
PCOLCE2,92,147,168,229,272,146,117,294,157,187,126,157
U2SURP,6105,7273.96,7659,6678,9678.52,9137.02,6384.81,9539,6584,7253.75,8647,9761
TTC14,1561,1901,1929,2086,3677,3019,1789,3947,1881,2111,2725,2371
CXCL3,11,25,45,97,57,70,5,39,93,119,95,56
CXCL5,2,7.01,11.02,20.01,8.01,14.01,1,11.02,15,16.03,29.02,22
PPBP,0,0,0,0,0,0,0,0,0,2,0,0
CXCL1,4,22,28,25,92,22,13,109,21,48,16,27
CPA3,1,0,0,9,4,1,1,0,6,7,2,1
HPS3,879,1200,1195,1448,919,949,1098,1211,953,832,1381,1272
TM4SF18,3,4,12,8,13,6,4,27,10,14,30,5
TOPBP1,3036,3712,4264,4662,4295,4671,3507,4114,3800,4085,4410,5473
SNRK,3411,4304,4145,4292,3301,4321,3748,4654,3072,3270,4579,4007
TCF23,0,0,0,0,1,0,0,1,0,0,2,1
DNAJC5G,5,10,11,12,12,22,7,6,15,18,14,7
UCN,32,28,28,44,23,32,33,38,13,14,34,46
ZNF513,833,1091,1322,1217,1376,1360,837,1246,963,1090,1116,994
PLB1,114,138,176,172,152,253,91,173,116,126,102,86
SPDYA,0,0,2,3,5.8,11.64,1.12,3.34,3.55,5.67,4.55,5.45
KIAA1143,3226.58,3770.45,3794.97,4026.87,3697.84,3716.03,3482.82,4373.72,3219.5,3346.05,4090.92,4378.72
KIF15,101,116,168,209,962,247,226,299,404,297,619,1573
TGM4,2,2,1,1,3,1,1,8,2,1,5,3
WDR43,1351,1792,2008,2190,2419,2135,1773,2715,1980,2018,2657,2830
ZDHHC3,4174,4960,5284,5132,4556,5509,4315,5309,3864,4349,5701,5320
CDCP1,4,25,51,15,24,21,11,162,27,22,92,108
CLEC3B,5,3,5.11,9,14,8,4,3.01,8,22,18,9
SLC6A20,2,1,0,4,27,9,0,6,1,3,5,10
CCR1,0,1,0,5,2,2,2,14,5,6,6,13
ELP6,1164,1317,1562,1443,1258,1205,991,1345,953,1058,1201,1059
FBXO40,21,19,28,19,13,29,29,6,2,3,36,57
DTX3L,22,52,74,175,172,61,45,219,150,90,503,424
NMNAT3,50,51.04,76.09,84.11,54.18,102.33,58.07,61,40.04,36.07,156.24,77.07
SMIM12,2076,2513,2619,2704,2153,2214,1972,2713,1991.05,2108,2251,1815
ZMYM6,1289.29,1442.97,1538.52,1561.27,1472.2,1743.24,1342.64,1680.22,1193.29,1410.5,1543.95,1216.45
TPRA1,342,461,634,652,688,571,402,609,371,387,581,572
YEATS2,5051,6134,6711,7440,5991,7194,5205,6164,5966,5992,6662,6616
GRIK3,4881,4907,8213,4529,4941,10411,3827,4360,5484,6951,1405,1729
ZC3H12A,6,6,26,48,47,30,8,53,39,33,93,96
SNIP1,1008,1286,1406,1389,1220,1486,1113,1418,1000,1271,1247,1190
DNALI1,1441,1797,1531,1357,2363,1516,1433,2165,1011,1244,1137,1299
KLF15,107,90,121,81,224,136,93,109,54,72,143,137
CFAP100,5,5,10,5,7,6,6,0,0,5,7,6
CAMK2N2,2145,3026,3687,2570,1928,4564,2238,1521,1940,2529,2152,1491
LIPH,5,21,35,23,10,13,6,36,12,21,106,24
TMEM41A,946,1097,1289,1374,1074,1267,1074,1201,964,980,1593,1168
RPN1,11381,14302,17122,18089,17343,17055,13611,18474,12327,13876,14533,14163
SENP2,4590,5529,5499,5719,5611,5534,5042,6196,3934,4395,6511,5887
HEYL,151,211,170,996,579,535,457,184,743,718,997,609
RHO,1,0,0,0,1,1,2,3,0,0,6,3
RPL39L,193.19,247.25,226.16,289.2,208.16,191.18,204.19,181.29,133.07,163.12,426.17,365.18
BAP1,5007,5944,7357,7091,6359,7229,4988,6904,4717,5412,6573,6532
PRKCD,2151,2724,2575,3375,1793,1992,2199,2919,1868,2100,1968,1098
RFT1,742.76,871.58,927.08,835,955.63,644,683,1084,632.28,657,888.24,919.72
SFMBT1,521,632.46,761,601,777.69,808,518,680,542,642.74,759,842
GNL3,2667,3466,4328,4510,4033,4444,3383,4137,3299,3743,3594,3947
PBRM1,12161,14976,14695,13457,11079,15374,12797,12754,11360,12433,14036,12050
SLBP,2191,2623,2915,2707,2288,2909,2237,2172,1991,2220,3035,3384
LRPAP1,4490,5146,6190,6812,6690,5719,4338,8318.88,4539,5054,7284.88,6553
ZDHHC19,0,1,4,2,3,5,0,1,0,2,5,1
SLC51A,1,2,2,4,7,0,0,4,3,0,6,3
UBXN7,7685,9484,9770,9251,9018.99,10329,8652.79,10195,7510,7993,10884,10159
RNF168,1297,1520,1725,2167,1915,2236,1522,1981,1899,1946,1891,2133
S100P,0,0,0,0,0,0,0,1,0,0,5,4
CLDN19,0,26,39,24,46,2,49,69,84,7,61,93
ERMAP,584,721,618,796,675,506,659,783,444,468,687,457
ZNF691,413,462,527,450,584,508,390,538,357,392,530,600
METAP1,2982,3562,4264,3967,3055,4103,2999,3190,2831,2997,3146,2435
DNAJB14,2622.86,2938.96,2622.91,2709.92,3414.95,3578.96,2706.97,4106.96,2563,3058.99,4688.97,3994.95
H2AZ1,6088,6774.83,8858.93,7756.9,8119,6882,6361.92,6253.98,5603.97,5716.97,11462.99,14057.98
EMCN,1,8,6,61,65,34,33,97,41,46,410,222
SLC9B1,16,16,17,16,11,20,10,15,13,17,11,14
SLC9B2,2873,3400,3873,3310,1493,3752,2635,2096,2144,2317,3774,1987
BDH2,217.9,360.62,492.63,463.84,1483.74,542.66,330.87,1300.3,525.71,535.64,1007.81,1353.44
PGRMC2,3805,4552,4406,4637,5876,4232,3642,9530,3983,4036,5893,6282
CDC25A,1731,2038,2081,1760,1707,2075,1719,1357,1419,1520,1772,2635
CAMP,0,0,0,0,0,0,0,0,0,0,0,1
ZNF589,1117,1329,1418,1314,1202,1327,1106,1230,1020,1114,1396,1318
FBXW12,8,11,6,12,7,8,9,8,7,6,1,5
PLXNB1,3251,4156,5359,4914,6912,5804,3464,7205,3744,4313,5451,5158
CCDC51,725.01,861.37,908.8,885.88,664.67,746.97,675.57,803.73,536.5,646.31,618.64,526.27
SPRY1,574,829,1548,1864,3398,2099,965,3993,1857,1548,2703,2801
BSN,5570,7307,8404,8205,4920,9940,6457,5400,5316,5865,8184,5184
APEH,3512,4487,5290,5760,4979,4843,3619,5457,3750,4109,3877,3507
INTU,652,731,895,1098,2132,1490,774,1999,960,1128,1081,1285
RNF123,2056.38,2405.4,2839.01,3187.74,2721,2716.37,2070.36,3179.4,1872.72,2110.73,3087.39,2377.67
HSPA4L,2353.74,2902.7,3015.38,2907.34,3089.66,3283.71,1953.69,4970.61,2549.69,3090.19,3727.3,2471.23
CAMKV,2863,3290,5233,3585,2675,5755,2260,3005,2950,3686,1173,1174
GRM2,709,671,474,450,573,473,613,943,390,408,163,248
DUSP7,1127,1380,1742,1940,1489,1999,1370,1252,1490,1576,1760,1412
POC1A,110,128,201,239,464,151,188,344,212,182,539,1005
PPM1M,243,268,301,389,274,253,256,332,184,222,469,387
ETNPPL,15,24,9,11,6,16,9,23,4,8,4,15
WDR82,19640.97,24306.43,28885.03,24692.28,19318.96,28117.21,19550.96,20247.67,18679.92,20723.99,17102.78,15349.71
C4orf3,3828,4703,4910,5114,3462,5025,4403,4227,4288,4277,6324,5265
PRSS12,7681,8194,2704,7310,2593,1370,7704,4273,2320,1933,5280,2753
NDST3,2945.42,2930,1988,1397,1024,1665,2179,1646,1280,1104,1857,1472
HMGB2,599,741,776,859,4410,791,963,1416,1323,1157,3110,7835
SAP30,341,426,500,429,513,500,308,295,398,410,504,674
SCRG1,332,209,445,632,536,238,525,113,374,349,3331,1649
MAD2L1,335,434,413,599,1311,448,515,866.97,720,648,1596.93,3756.96
ANXA5,1605,2535,2858,6121,10600,3405,2926,14848,4681,4861,9521,10513
ADAD1,0,0,0,0,0,0,0,0,0,0,1,0
MAP9,3815,4875,5121,4050,5202,6600,3835,5870,3939,4825,5521,4133
CEP44,504,608,598,613,822,596,566,837,536,500,771,877
HPGD,48,70,90,98,86,132,68,98,87,83,95,82
ASB5,14,12,13,26,22,40,24,8,12,14,11,27
C4orf45,0,2,0,1,3,0,0,0,1,0,1,1
TMEM144,5,19,38,23,26,54,17,72,37,28,92,47
NPY1R,771,935,2002,958,642,3449,714,875,1700,2009,713,734
NPY5R,98,86,367,100,56,1004,89,46,199,269,108,91
NAA15,2775,3632,3929,3968,4062,4218,3011,4740,3455,3859,3975,3989
IL15,0,12,9,10,29,27,8,15,13,16,29,10
FHIP1A,19,33,44,45,418,27,28,854,33,52,104,351
ARFIP1,914,1158,1071,1118,1788,1032,978,1881,985,1037,1625,1681
ICE1,2878,3463,4054,4753,5050,4349,3708,5584,3849,3978,5729,6121
HHIP,107,99,182,217,652,160,117,229,254,302,962,1410
ANAPC10,331.53,385.5,352.42,355.89,471.17,323.43,326.84,414.11,272.65,332.21,453.23,404.45
ABCE1,3799.4,4262.9,4699.35,5325.28,4927.31,5291.09,3976.85,5002.41,4361.12,4675.44,5675.48,5658.74
OTUD4,2243.74,2752.74,2570.91,2739.84,3065.85,3044.77,2351.94,3165.77,2460.86,2453.92,3582.81,3205.92
LSM6,565,775,687,675,887,769,655,700,559,664,739,887
TMEM184C,3328,3843,3988,3982,4273,4208,3425,5080,3157,3530,4134,3470
PRMT9,473,580,693,739,650,642,513,796,501,499,862,742
ITGA2,22,113,227,121,579,31,67,906,243,79,254,246
SLC45A2,5,15,31,18,43,20,8,15,24,34,11,11
EDIL3,12525,16435,19575,16848,14789,21117,12400,19220,21258,18152,17850,17977
ELOVL7,41.94,44,73,107,34,60,62,55,75,34,172,69
ZNF474,2,13,15,12,96,16,12,137,6,6,12,30
LMBRD2,4125,4589,3831,4074,3099,4026,4302,4243,3401,3818,4627,3488
NIPBL,4684,6169,6343,6035,8547,7056,5592,8546,5326,5905,6448,7514
RNF180,821,977,695,906,525,897,862,653,643,709,1145,544
ADGRV1,308,408,542,616,11049,770,505,11736,836,1341,1619,5924
SLC25A46,3414,4079,4098,4744,5013,5938,3813,5625,4768,5261,5632,4278
STARD4,2399,3143,4889,5882,6382,7937,2740,5651,6522,6510,2449,1928
PGGT1B,610,750.99,614,760,1211.99,880,719,1530.96,814.99,903,1579,1480.91
F2RL2,128,289,498,1833,1024,580,554,262,1714,1469,4477,1632
CCDC112,5078,5733,5871,4818,3010,5895,5350,3701,3754,4178,3926,2700
ANKRD33B,28,104,86,99,445,40,102,1353,127,92,463,1055
CMBL,655,801,1052,1178,2190,831,553,3344,952,1001,1266,1194
F2RL1,39,163,214,190,120,114,82,244,130,95,244,129
AGGF1,2036.88,2523,2443,2308,2655.34,2464.48,2155.24,3156,1924.41,2181.13,2633.76,2303
WDR41,4495,5056,5713,6703,4542,5494,4606,5264,4522,4705,7470,4798
NDUFS4,2566,3066,3647,3266,2391,3056,2419,2590,2077,2289,2307,1791
SCGB3A2,0,0,0,0,1,0,0,0,0,0,0,0
ESM1,2,5,5,4,36,17,3,16,5,19,22,6
GRPEL2,4392,4688,4368.99,4329,2406,4155,4551,2587,2371,2386,5478,3632
ARSK,537,604,625,729,878,625,569,961,584,630,877,718
RHOBTB3,4005,4544,4977,6213,9573,5602,5018,10088,5697,5540,8862,10342
GPX8,298,448,793,3403,6591,1050,1354,6814,2811,2566,6960,6066
TIGD6,247,282,320,374,385,335,298,494,289,320,375,381
SPZ1,1,0,0,0,0,0,0,0,0,0,0,0
SERINC5,846,1231,1790,1618,1916,1985,777,2599,1386,1585,2959,2315
ENPP6,5,3,10,8,36,6,17,22,2,5,7,10
CAGE1,2,0,2,1,3,2,1,4,0,0,4,6
CASP3,5764,6735,5808,5433,4614,4560,5490,6788,4145,3851,5732,5908
PRIMPOL,474,547,483,497,510,370,510,490,354,349,615,621
ERAP1,4141,4758,4216,4087,3225,2953,4037,4087,2894,3027,4970,3600
CMYA5,38,28,42,40,63,54,36,55,54,43,52,57
EGFLAM,15,84,98,513,1236,319,265,204,555,434,241,333
TMEM174,0,0,0,0,0,0,0,3,2,0,2,1
CARTPT,2154,3443,11759,6610,3374,43367,1947,1364,9222,9229,2047,2037
RICTOR,2260,2793,2838,2829,2953,3439,2816,3713,2516,2811,3848,3155
EBF1,10494,13995,8890,9543,8535,8944,11910,15382,7257,7826,9499,6613
ANKRA2,1398,1508,1424,1449,1042,1205,1279,1369,805,951,1470,938
UBLCP1,2197,2759,2928,2794,3007,2993,2327,3555,2310,2666,2906,2766
UTP15,865,1030,1080,1241,1241,1258,967,1409,1006,1104,1326,1236
KLKB1,1,5,2,1,5.1,0,3,3,4.06,2.01,50,16
NSA2,3734.82,4457.74,4602.89,4361.52,4569.34,4807.79,4071.88,4561.72,3455.94,4043.56,4304.79,3924.84
GFM2,2349,2725,2992,3174,2435,2493,2230,2987,1991,2281,2826,2533
SLC6A18,0,1,2,1,0,0,1,0,0,0,3,0
CCDC127,3929.97,4542,3905.95,4671,3365.92,3741.97,4018,4257,2768.96,3244,4630.87,3548
FOXQ1,0,4,12,10,70.02,16,10,297,25,17,20,66
IL3,0,0,0,0,0,0,0,0,0,0,0,0
CSF2,0,0,0,0,0,0,0,0,0,0,0,0
SEPTIN8,4645,5479,5282,6730,5245,5221,5110,5272,4584,4845,6990,5596
UQCRQ,1888,2427,3857,3679,3055,3180,1731,3241,2348,2471,2677,2394
LEAP2,4,10,10,15,18,14,10,12,6,17,12,21
GJB7,5,10,11,11,20,12,11,23,2,5,19,16
FABP7,355,516,739,770,1247,1175,419,860,891,862,527,560
TLX3,3657,4052,3123,3604,896,1501,3578,2237,1492,1423,1600,1132
TXLNB,9,11,17,41,217,39,34,207,33,49,18,82
CITED2,3356,4265,4108,4066,6965,5311,3937,6437,3824,4537,6049,6246
CREBRF,1031,1190,1284,1163,1332,1574,1181,1755,837,885,1656,1162
